Target Points: 
(200, 100) 
(330, 310) 
(370, 450) 

Tolerance: 10


X2       Y2       L       R1       R2       Angle 1       Angle 2
208.04   96.91    192     240      160      64.75        18           
194.48   91.84    160     240      176      70.37        -26          
196.84   93.88    160     240      176      70.37        18           
199.16   95.96    160     240      176      70.37        62           
200.07   104.31   128     240      192      76.12        -51          
202.33   106.85   128     240      192      76.12        -7           
204.54   109.43   128     240      192      76.12        37           
191.18   104.00   96      240      208      82.34        37           
193.53   106.84   96      240      208      82.34        81           
199.60   96.29    112     240      208      79.14        -51          
202.05   99.05    112     240      208      79.14        -7           
204.44   101.84   112     240      208      79.14        37           
206.79   104.68   112     240      208      79.14        81           
191.23   98.28    80      240      224      85.88        81           
200.85   90.70    96      240      224      82.34        -7           
203.43   93.71    96      240      224      82.34        37           
205.95   96.77    96      240      224      82.34        81           
324.99   303.54   224     240      224      59.05        57           
324.87   316.10   240     240      224      56.13        -56          
322.77   319.47   240     240      224      56.13        -12          
323.61   310.13   192     240      240      64.75        -75          
321.93   314.03   192     240      240      64.75        -31          
320.17   317.90   192     240      240      64.75        13           
334.19   304.82   208     240      240      61.92        -75          
332.51   308.72   208     240      240      61.92        -31          
330.76   312.59   208     240      240      61.92        13           
328.94   316.43   208     240      240      61.92        57           
339.39   310.51   224     240      240      59.05        57           
201.59   104.10   240     240      240      89.10        -76          
203.96   107.63   240     240      240      89.10        -32          
